,DATE,Genco,TYPE,TotalGeneration,Installed_Capacity,Capacity_Utilization
0,2025-05-11,AFAM VI,GAS/STEAM,5830.0,776,31.3036941580756
3,2025-05-11,AZURA-EDO IPP,GAS,9354.0,461,84.54446854663775
5,2025-05-11,DADINKOWA G.S,HYDRO,407.15,,
6,2025-05-11,DELTA,GAS,9198.0,,
7,2025-05-11,EGBIN,STEAM,18526.0,1320,58.47853535353536
10,2025-05-11,GEREGU,GAS,5209.0,434,50.00960061443932
12,2025-05-11,GEREGU NIPP,GAS,1716.0,,
13,2025-05-11,IHOVBOR NIPP,GAS,322.1,451,2.9757945306725797
14,2025-05-11,JEBBA,HYDRO,8637.0,578,62.26211072664359
16,2025-05-11,KAINJI,HYDRO,9407.0,760,51.5734649122807
18,2025-05-11,ODUKPANI NIPP,GAS,4892.6,,
19,2025-05-11,OKPAI,GAS/STEAM,6557.0,480,56.91840277777778
20,2025-05-11,OLORUNSOGO,GAS,3373.3,676,20.792036489151876
22,2025-05-11,OLORUNSOGO NIPP,GAS,989.1,,
23,2025-05-11,OMOKU,GAS,1005.6,225,18.622222222222224
25,2025-05-11,OMOTOSHO,GAS,3588.4,451,33.15225424981523
27,2025-05-11,PARAS ENERGY,GAS,2570.6,96,111.57118055555554
28,2025-05-11,SAPELE,STEAM,259.6,1020,1.0604575163398693
30,2025-05-11,SHIRORO,HYDRO,6549.76,600,45.48444444444444
31,2025-05-11,TRANS AFAM POWER,,1771.3,1074,6.87189633767846
42,2025-05-11,TRANS-AMADI,GAS,165.0,136,5.05514705882353
43,2025-05-11,ZUNGERU,,9689.0,900,44.85648148148148
