,DATE,Genco,TYPE,Generated,Installed_Capacity,Capacity_Utilization
0,2025-05-02,AFAM III FAST POWER,,874.0,50,72.83333333333334
2,2025-05-02,AFAM VI,GAS/STEAM,3079.0,776,16.532431271477662
5,2025-05-02,AZURA-EDO IPP,GAS,9389.0,461,84.86080983369486
7,2025-05-02,DADINKOWA G.S,HYDRO,391.97,,
8,2025-05-02,DELTA,GAS,9154.0,,
9,2025-05-02,EGBIN,STEAM,17178.0,1320,54.22348484848485
12,2025-05-02,GEREGU,GAS,5658.0,434,54.32027649769585
14,2025-05-02,GEREGU NIPP,GAS,2496.0,,
15,2025-05-02,GPAL,GAS,684.3,1020,2.7953431372549016
18,2025-05-02,IHOVBOR NIPP,GAS,323.8,451,2.99150036954915
19,2025-05-02,JEBBA,HYDRO,6313.0,578,45.50893886966551
21,2025-05-02,KAINJI,HYDRO,9186.0,760,50.36184210526316
23,2025-05-02,ODUKPANI NIPP,GAS,4697.7,,
24,2025-05-02,OLORUNSOGO,GAS,4111.2,676,25.340236686390533
26,2025-05-02,OLORUNSOGO NIPP,GAS,735.3,,
27,2025-05-02,OMOKU,GAS,848.5,225,15.712962962962962
29,2025-05-02,OMOTOSHO,GAS,4212.1,451,38.914449371766445
31,2025-05-02,PARAS ENERGY,GAS,2285.5,96,99.19704861111111
32,2025-05-02,RIVERS IPP,GAS,2715.0,,
33,2025-05-02,SHIRORO,HYDRO,6145.87,600,42.679652777777775
34,2025-05-02,TRANS AFAM POWER,,1947.1,1074,7.553926132836747
44,2025-05-02,TRANS-AMADI,GAS,148.3,136,4.543504901960785
45,2025-05-02,ZUNGERU,,6629.0,700,39.458333333333336
