,DATE,Genco,TotalGeneration,Unnamed: 2_y,Installed_Capacity,Capacity_Utilization
0,2025-05-04,AFAM III FAST POWER,1084.0,Gas-fired,50,90.33333333333333
2,2025-05-04,AFAM VI,2678.0,Gas-fired,776,14.379295532646047
5,2025-05-04,AZURA-EDO IPP,9492.0,Gas-fired,461,85.79175704989154
7,2025-05-04,DADINKOWA G.S,392.32,,,
8,2025-05-04,DELTA,9104.0,,,
9,2025-05-04,EGBIN,19891.0,Gas-fired,1320,62.787247474747474
12,2025-05-04,GEREGU,7288.0,Gas-fired,434,69.96927803379415
14,2025-05-04,GEREGU NIPP,2987.0,,,
15,2025-05-04,GPAL,783.21,Gas-fired,1020,3.1993872549019606
18,2025-05-04,IHOVBOR NIPP,1885.3,Gas-fired,451,17.417775314116778
19,2025-05-04,JEBBA,8377.0,Hydroelectric,578,60.38783160322952
21,2025-05-04,KAINJI,9694.0,Hydroelectric,760,53.146929824561404
23,2025-05-04,ODUKPANI NIPP,4478.9,,,
24,2025-05-04,OKPAI,2179.0,Gas-fired,480,18.914930555555557
25,2025-05-04,OLORUNSOGO,4278.7,Gas-fired,676,26.372657790927022
27,2025-05-04,OLORUNSOGO NIPP,2215.4,,,
28,2025-05-04,OMOKU,835.2,Gas-fired,225,15.466666666666667
30,2025-05-04,OMOTOSHO,4244.6,Gas-fired,451,39.214708056171474
32,2025-05-04,PARAS ENERGY,2312.2,Gas-fired,96,100.35590277777777
33,2025-05-04,RIVERS IPP,2168.0,,,
34,2025-05-04,SHIRORO,6254.3,Hydroelectric,600,43.43263888888889
35,2025-05-04,TRANS AFAM POWER,2544.2,Gas-fired,1074,9.870422098075728
44,2025-05-04,TRANS-AMADI,144.5,Gas-fired,136,4.427083333333334
45,2025-05-04,ZUNGERU,6914.0,Hydroelectric,700,41.154761904761905
