,DATE,Genco,TYPE,Generated,Installed_Capacity,Capacity_Utilization
0,2025-05-02,AFAM III FAST POWER,,874.0,50.0,72.83333333333334
1,2025-05-02,AFAM VI,GAS/STEAM,3079.0,776.0,16.532431271477662
2,2025-05-02,AZURA-EDO IPP,GAS,9389.0,461.0,84.86080983369486
3,2025-05-02,DADINKOWA G.S,HYDRO,391.97,,
4,2025-05-02,DELTA,GAS,9154.0,,
5,2025-05-02,EGBIN,STEAM,17178.0,1320.0,54.22348484848485
6,2025-05-02,GEREGU,GAS,5658.0,434.0,54.32027649769585
7,2025-05-02,GEREGU NIPP,GAS,2496.0,,
8,2025-05-02,GPAL,GAS,684.3,1020.0,2.7953431372549016
9,2025-05-02,IHOVBOR NIPP,GAS,323.8,451.0,2.99150036954915
10,2025-05-02,JEBBA,HYDRO,6313.0,578.0,45.50893886966551
11,2025-05-02,KAINJI,HYDRO,9186.0,760.0,50.36184210526316
12,2025-05-02,ODUKPANI NIPP,GAS,4697.7,,
13,2025-05-02,OLORUNSOGO,GAS,4111.2,676.0,25.340236686390533
14,2025-05-02,OLORUNSOGO NIPP,GAS,735.3,,
15,2025-05-02,OMOKU,GAS,848.5,225.0,15.712962962962962
16,2025-05-02,OMOTOSHO,GAS,4212.1,451.0,38.914449371766445
17,2025-05-02,PARAS ENERGY,GAS,2285.5,96.0,99.19704861111111
18,2025-05-02,RIVERS IPP,GAS,2715.0,,
19,2025-05-02,SHIRORO,HYDRO,6145.87,600.0,42.679652777777775
20,2025-05-02,TRANS AFAM POWER,,1947.1,1074.0,7.553926132836747
21,2025-05-02,TRANS-AMADI,GAS,148.3,136.0,4.543504901960785
22,2025-05-02,ZUNGERU,,6629.0,700.0,39.458333333333336
23,2025-05-03,AFAM III FAST POWER,,,50.0,38.333333333333336
24,2025-05-03,AFAM VI,GAS/STEAM,,776.0,15.63573883161512
25,2025-05-03,AZURA-EDO IPP,GAS,,461.0,85.97252349963847
26,2025-05-03,DADINKOWA G.S,HYDRO,,,
27,2025-05-03,DELTA,GAS,,,
28,2025-05-03,EGBIN,STEAM,,1320.0,59.75694444444445
29,2025-05-03,GEREGU,GAS,,434.0,68.77880184331798
30,2025-05-03,GEREGU NIPP,GAS,,,
31,2025-05-03,GPAL,GAS,,1020.0,1.232434640522876
32,2025-05-03,IHOVBOR NIPP,GAS,,451.0,2.7346637102734666
33,2025-05-03,JEBBA,HYDRO,,578.0,41.37110726643599
34,2025-05-03,KAINJI,HYDRO,,760.0,47.182785087719296
35,2025-05-03,ODUKPANI NIPP,GAS,,,
36,2025-05-03,OLORUNSOGO,GAS,,676.0,26.45525147928994
37,2025-05-03,OLORUNSOGO NIPP,GAS,,,
38,2025-05-03,OMOKU,GAS,,225.0,15.031481481481482
39,2025-05-03,OMOTOSHO,GAS,,451.0,36.90133037694013
40,2025-05-03,PARAS ENERGY,GAS,,96.0,103.08159722222224
41,2025-05-03,RIVERS IPP,GAS,,,
42,2025-05-03,SHIRORO,HYDRO,,600.0,39.481180555555554
43,2025-05-03,TRANS AFAM POWER,,,1074.0,7.673417132216015
44,2025-05-03,TRANS-AMADI,GAS,,136.0,5.474877450980392
45,2025-05-03,ZUNGERU,,,700.0,40.05952380952381
46,2025-05-04,AFAM III FAST POWER,,,50.0,90.33333333333331
47,2025-05-04,AFAM VI,,,776.0,14.379295532646047
48,2025-05-04,AZURA-EDO IPP,,,461.0,85.79175704989154
49,2025-05-04,DADINKOWA G.S,,,,
50,2025-05-04,DELTA,,,,
51,2025-05-04,EGBIN,,,1320.0,62.787247474747474
52,2025-05-04,GEREGU,,,434.0,69.96927803379415
53,2025-05-04,GEREGU NIPP,,,,
54,2025-05-04,GPAL,,,1020.0,3.1993872549019606
55,2025-05-04,IHOVBOR NIPP,,,451.0,17.417775314116778
56,2025-05-04,JEBBA,,,578.0,60.38783160322952
57,2025-05-04,KAINJI,,,760.0,53.14692982456141
58,2025-05-04,ODUKPANI NIPP,,,,
59,2025-05-04,OKPAI,,,480.0,18.91493055555556
60,2025-05-04,OLORUNSOGO,,,676.0,26.372657790927025
61,2025-05-04,OLORUNSOGO NIPP,,,,
62,2025-05-04,OMOKU,,,225.0,15.466666666666669
63,2025-05-04,OMOTOSHO,,,451.0,39.214708056171474
64,2025-05-04,PARAS ENERGY,,,96.0,100.35590277777776
65,2025-05-04,RIVERS IPP,,,,
66,2025-05-04,SHIRORO,,,600.0,43.43263888888889
67,2025-05-04,TRANS AFAM POWER,,,1074.0,9.870422098075728
68,2025-05-04,TRANS-AMADI,,,136.0,4.427083333333334
69,2025-05-04,ZUNGERU,,,700.0,41.15476190476191
70,2025-05-05,AFAM III FAST POWER,,,50.0,31.5
71,2025-05-05,AFAM VI,GAS/STEAM,,776.0,26.52491408934708
72,2025-05-05,AZURA-EDO IPP,GAS,,461.0,85.83694866232827
73,2025-05-05,DADINKOWA G.S,HYDRO,,,
74,2025-05-05,DELTA,GAS,,,
75,2025-05-05,EGBIN,STEAM,,1320.0,62.30113636363637
76,2025-05-05,GEREGU,GAS,,434.0,59.90783410138248
